symbol,name,dimension,isSI,category,baseUnit,conversionRef,isExact,A,B,C,D,underlyingDef,description
kg/kg,kilogram per kilogram,1,true,derived,IS-BASE,,,,,,,Euc,
m/m,metre per metre,1,true,derived,IS-BASE,,,,,,,Euc,
m2/m2,square metre per square metre,1,true,derived,IS-BASE,,,,,,,Euc,
m3/m3,cubic metre per cubic metre,1,true,derived,IS-BASE,,,,,,,Euc,
mol/mol,mole per mole,1,true,derived,IS-BASE,,,,,,,Euc,
N/N,newton per newton,1,true,derived,IS-BASE,,,,,,,Euc,
s/s,second per second,1,true,derived,IS-BASE,,,,,,,Euc,
W/W,watt per watt,1,true,derived,IS-BASE,,,,,,,Euc,
g/kg,gram per kilogram,1,true,derived,kg/kg,DERIVED,true,0,1E-3,1,0,,
g/t,gram per tonne,1,true,derived,kg/kg,DERIVED,true,0,1E-6,1,0,,
kg/sack[94lbm],kilogram per 94-pound-sack,1,false,derived,kg/kg,DERIVED,false,0,1,42.63768278,0,,
kg/t,kilogram per tonne,1,true,derived,kg/kg,DERIVED,true,0,1E-3,1,0,,
mg/g,milligram per gram,1,true,derived,kg/kg,DERIVED,true,0,1E-3,1,0,,
mg/kg,milligram per kilogram,1,true,derived,kg/kg,DERIVED,true,0,1E-6,1,0,,
ng/g,nanogram per gram,1,true,derived,kg/kg,DERIVED,true,0,1E-9,1,0,,
ng/mg,nanogram per milligram,1,true,derived,kg/kg,DERIVED,true,0,1E-6,1,0,,
ug/g,microgram per gram,1,true,derived,kg/kg,DERIVED,true,0,1E-6,1,0,,
ug/mg,microgram per milligram,1,true,derived,kg/kg,DERIVED,true,0,1E-3,1,0,,
0.01 ft/ft,foot per hundred foot,1,false,derived,m/m,DERIVED,true,0,0.01,1,0,,
1/30 m/m,metre per thirty metre,1,false,derived,m/m,DERIVED,true,0,1,30,0,,
ft/ft,foot per foot,1,false,derived,m/m,DERIVED,true,0,1,1,0,,
ft/in,foot per inch,1,false,derived,m/m,DERIVED,true,0,12,1,0,,
ft/m,foot per metre,1,false,derived,m/m,DERIVED,true,0,0.3048,1,0,,
ft/mi,foot per mile,1,false,derived,m/m,DERIVED,true,0,1,5280,0,,
km/cm,kilometre per centimetre,1,true,derived,m/m,DERIVED,true,0,1E5,1,0,,
m/cm,metre per centimetre,1,true,derived,m/m,DERIVED,true,0,100,1,0,,
m/km,metre per kilometre,1,true,derived,m/m,DERIVED,true,0,1E-3,1,0,,Parts per thousand.
mi/in,mile per inch,1,false,derived,m/m,DERIVED,true,0,63360,1,0,,
in2/ft2,square inch per square foot,1,false,derived,m2/m2,DERIVED,true,0,1,144,0,,
in2/in2,square inch per square inch,1,false,derived,m2/m2,DERIVED,true,0,1,1,0,,
mm2/mm2,square millimetre per square millimetre,1,true,derived,m2/m2,DERIVED,true,0,1,1,0,,
0.001 bbl/ft3,barrel per thousand cubic foot,1,false,derived,m3/m3,DERIVED,true,0,1.58987294928E-4,0.028316846592,0,,
0.001 bbl/m3,barrel per thousand cubic metre,1,false,derived,m3/m3,DERIVED,true,0,1.58987294928E-4,1,0,,
0.001 gal[UK]/bbl,UK gallon per thousand barrel,1,false,derived,m3/m3,DERIVED,true,0,4.54609E-6,0.158987294928,0,,
0.001 gal[UK]/gal[UK],UK gallon per thousand UK gallon,1,false,derived,m3/m3,DERIVED,true,0,1E-3,1,0,,
0.001 gal[US]/bbl,US gallon per thousand barrel,1,false,derived,m3/m3,DERIVED,true,0,3.785411784E-6,0.158987294928,0,,
0.001 gal[US]/ft3,US gallon per thousand cubic foot,1,false,derived,m3/m3,DERIVED,true,0,3.785411784E-6,0.028316846592,0,,
0.001 gal[US]/gal[US],US gallon per thousand US gallon,1,false,derived,m3/m3,DERIVED,true,0,1E-3,1,0,,
0.001 pt[UK]/bbl,UK pint per thousand barrel,1,false,derived,m3/m3,DERIVED,true,0,5.6826125E-4,158.987294928,0,,
0.01 bbl/bbl,barrel per hundred barrel,1,false,derived,m3/m3,DERIVED,true,0,0.01,1,0,,
0.1 gal[US]/bbl,US gallon per ten barrel,1,false,derived,m3/m3,DERIVED,true,0,3.785411784E-4,0.158987294928,0,,
0.1 L/bbl,litre per ten barrel,1,false,derived,m3/m3,DERIVED,true,0,0.001,1.58987294928,0,,
0.1 pt[US]/bbl,US pint per ten barrel,1,false,derived,m3/m3,DERIVED,true,0,4.73176473E-4,1.58987294928,0,,
1000 ft3/bbl,thousand cubic foot per barrel,1,false,derived,m3/m3,DERIVED,true,0,28.316846592,0.158987294928,0,,
1000 m3/m3,thousand cubic metre per cubic metre,1,false,derived,m3/m3,DERIVED,true,0,1E3,1,0,,
1E-6 acre.ft/bbl,acre foot per million barrel,1,false,derived,m3/m3,DERIVED,true,0,1.911900672E4,2.464298142777857232E6,0,,
1E6 bbl/(acre.ft),million barrel per acre foot,1,false,derived,m3/m3,DERIVED,true,0,2.464298142777857232E12,1.911900672E10,0,,
1E-6 bbl/ft3,barrel per million cubic foot,1,false,derived,m3/m3,DERIVED,true,0,0.158987294928,2.8316846592E4,0,,
1E-6 bbl/m3,barrel per million cubic metre,1,false,derived,m3/m3,DERIVED,true,0,1.58987294928E-7,1,0,,barrel per million cubic metre
1E6 ft3/(acre.ft),million cubic foot per acre foot,1,false,derived,m3/m3,DERIVED,true,0,1.43999424000576E12,6.27264E10,0,,
1E6 ft3/bbl,million cubic foot per barrel,1,false,derived,m3/m3,DERIVED,true,0,28.316846592E3,0.158987294928,0,,
bbl/(acre.ft),barrel per acre foot,1,false,derived,m3/m3,DERIVED,true,0,2.464298142777857232E6,1.911900672E10,0,,
bbl/bbl,barrel per barrel,1,false,derived,m3/m3,DERIVED,true,0,1,1,0,,
bbl/ft3,barrel per cubic foot,1,false,derived,m3/m3,DERIVED,true,0,0.158987294928,0.028316846592,0,,
bbl/m3,barrel per cubic metre,1,false,derived,m3/m3,DERIVED,true,0,0.158987294928,1,0,,
cm3/cm3,cubic centimetre per cubic centimetre,1,true,derived,m3/m3,DERIVED,true,0,1,1,0,,
cm3/L,cubic centimetre per litre,1,true,derived,m3/m3,DERIVED,true,0,1E-3,1,0,,
cm3/m3,cubic centimetre per cubic metre,1,true,derived,m3/m3,DERIVED,true,0,1E-6,1,0,,Part per million [mass per mass]
dm3/m3,cubic decimetre per cubic metre,1,true,derived,m3/m3,DERIVED,true,0,1E-3,1,0,,
ft3/bbl,cubic foot per barrel,1,false,derived,m3/m3,DERIVED,true,0,0.028316846592,0.158987294928,0,,
ft3/ft3,cubic foot per cubic foot,1,false,derived,m3/m3,DERIVED,true,0,1,1,0,,
gal[UK]/ft3,UK gallon per cubic foot,1,false,derived,m3/m3,DERIVED,true,0,4.54609E-3,0.028316846592,0,,
gal[US]/bbl,US gallon per barrel,1,false,derived,m3/m3,DERIVED,true,0,3.785411784E-3,0.158987294928,0,,
gal[US]/ft3,US gallon per cubic foot,1,false,derived,m3/m3,DERIVED,true,0,3.785411784E-3,0.028316846592,0,,
L/m3,litre per cubic metre,1,true,derived,m3/m3,DERIVED,true,0,1E-3,1,0,,
m3/(ha.m),cubic metre per hectare metre,1,true,derived,m3/m3,DERIVED,true,0,1E-4,1,0,,
m3/bbl,cubic metre per barrel,1,false,derived,m3/m3,DERIVED,true,0,1,0.158987294928,0,,
mL/gal[UK],millilitre per UK gallon,1,false,derived,m3/m3,DERIVED,true,0,1.E-6,4.54609E-3,0,,
mL/gal[US],millilitre per US gallon,1,false,derived,m3/m3,DERIVED,true,0,1.E-6,3.785411784E-3,0,,
mL/mL,millilitre per millilitre,1,true,derived,m3/m3,DERIVED,false,0,1,1,0,,
kgf/kgf,thousand gram-force per kilogram-force,1,false,derived,N/N,DERIVED,true,0,1,1,0,,
lbf/lbf,pound-force per pound-force,1,false,derived,N/N,DERIVED,true,0,1,1,0,,
ms/s,millisecond per second,1,true,derived,s/s,DERIVED,true,0,1E-3,1,0,,
Btu[IT]/(hp.h),BTU per horsepower hour,1,false,derived,W/W,DERIVED,true,0,1.05505585262E3,2.684519537696172792E6,0,,
W/kW,watt per kilowatt,1,true,derived,W/W,DERIVED,true,0,1E-3,1,0,,
cEuc,centieuclid,1,true,prefixed,Euc,DERIVED,true,0,0.01,1,0,,Parts per hundred.
dEuc,decieuclid,1,true,prefixed,Euc,DERIVED,true,0,0.1,1,0,,Parts per ten.
EEuc,exaeuclid,1,true,prefixed,Euc,DERIVED,true,0,1E18,1,0,,Million million million per part.
fEuc,femtoeuclid,1,true,prefixed,Euc,DERIVED,true,0,1E-15,1,0,,Parts per thousand million million.
GEuc,gigaeuclid,1,true,prefixed,Euc,DERIVED,true,0,1E9,1,0,,Thousand million per part.
kEuc,kiloeuclid,1,true,prefixed,Euc,DERIVED,true,0,1E3,1,0,,Thousand per part.
mEuc,millieuclid,1,true,prefixed,Euc,DERIVED,true,0,1E-3,1,0,,Parts per thousand.
MEuc,megaeuclid,1,true,prefixed,Euc,DERIVED,true,0,1E6,1,0,,Million per part.
nEuc,nanoeuclid,1,true,prefixed,Euc,DERIVED,true,0,1E-9,1,0,,Parts per thousand million.
pEuc,picoeuclid,1,true,prefixed,Euc,DERIVED,true,0,1E-12,1,0,,Parts per million million.
TEuc,teraeuclid,1,true,prefixed,Euc,DERIVED,true,0,1E12,1,0,,Million million per part.
uEuc,microeuclid,1,true,prefixed,Euc,EPSG,true,0,1E-6,1,0,,Parts per million.
Kibyte,kibibyte,1,false,prefixed,bit,DERIVED,true,0,8192,1,0,,1024 bytes.
Mibyte,mebibyte,1,false,prefixed,bit,DERIVED,true,0,8388608,1,0,,1048576 bytes. Commonly called a megabyte but mega refers to powers of ten rather than powers of two.
1/deltaC,per delta Celsius,1/D,true,derived,1/deltaK,DERIVED,true,0,1,1,0,,
1/deltaF,per delta Fahrenheit,1/D,false,derived,1/deltaK,DERIVED,true,0,9,5,0,,
1/deltaR,per delta Rankine,1/D,false,derived,1/deltaK,DERIVED,true,0,9,5,0,,
1/deltaK,per delta kelvin,1/D,true,derived,IS-BASE,,,,,,,,
m/(m.deltaK),metre per metre delta kelvin,1/D,true,derived,IS-BASE,,,,,,,1/deltaK,
m3/(m3.deltaK),cubic metre per cubic metre delta kelvin,1/D,true,derived,IS-BASE,,,,,,,1/deltaK,
in/(in.deltaF),inch per inch delta Fahrenheit,1/D,false,derived,m/(m.deltaK),DERIVED,true,0,9,5,0,,
mm/(mm.deltaK),millimetre per millimetre delta kelvin,1/D,true,derived,m/(m.deltaK),DERIVED,true,0,1,1,0,,
1E-6 m3/(m3.deltaC),(cubic metre per million cubic metre) per delta Celsius,1/D,false,derived,m3/(m3.deltaK),DERIVED,true,0,1E-6,1,0,,
1E-6 m3/(m3.deltaF),(cubic metre per million cubic metre) per delta Fahrenheit,1/D,false,derived,m3/(m3.deltaK),DERIVED,true,0,9E-6,5,0,,
ppm[vol]/deltaC,(part per million [volume basis]) per delta Celsius,1/D,false,derived,m3/(m3.deltaK),DERIVED,true,0,1E-6,1,0,1E-6 m3/(m3.deltaC),
ppm[vol]/deltaF,(part per million [volume basis)] per delta Fahrenheit,1/D,false,derived,m3/(m3.deltaK),DERIVED,true,0,9E-6,5,0,1E-6 m3/(m3.deltaF),
cu,capture unit,1/L,false,atom,m2/m3,SPE-1984,true,0,0.1,1,0,1E-3 cm2/cm3,"The macroscopic capture cross section is the sum of all the various weighted elemental capture cross sections. The are ""1E-3 cm2/cm3"" often referred to as capture unit (c.u.) or sigma unit (s.u.). (Adapted from Ransom, Robert C,"" Practical Formation Evaluation"", New York: J Wiley, 1995.)"
1/angstrom,per angstrom,1/L,true,derived,1/m,DERIVED,true,0,1E10,1,0,,
1/cm,per centimetre,1/L,true,derived,1/m,DERIVED,true,0,100,1,0,,
1/ft,per foot,1/L,false,derived,1/m,DERIVED,true,0,1,0.3048,0,,
1/in,per inch,1/L,false,derived,1/m,DERIVED,true,0,1,0.0254,0,,
1/mi,per mile,1/L,false,derived,1/m,DERIVED,true,0,1,1609.344,0,,
1/mm,per millimetre,1/L,true,derived,1/m,DERIVED,true,0,1E3,1,0,,
1/nm,per nanometre,1/L,true,derived,1/m,DERIVED,true,0,1E9,1,0,,
1/yd,per yard,1/L,false,derived,1/m,DERIVED,true,0,1,0.9144,0,,
1E-9 1/ft,per thousand million foot,1/L,false,derived,1/m,DERIVED,true,0,1E-9,0.3048,0,,
b/cm3,barn per cubic centimetre,1/L,true,derived,1/m,DERIVED,true,0,1E-22,1,0,,
ft2/in3,square foot per cubic inch,1/L,false,derived,1/m,DERIVED,true,0,0.09290304,1.6387064E-5,0,,
m2/cm3,square metre per cubic centimetre,1/L,true,derived,1/m,DERIVED,true,0,1E6,1,0,,
1/m,per metre,1/L,true,derived,IS-BASE,,,,,,,,
m2/m3,square metre per cubic metre,1/L,true,derived,IS-BASE,,,,,,,1/m,
1/ft2,per square foot,1/L2,false,derived,1/m2,DERIVED,true,0,1,0.09290304,0,,
1/km2,per square kilometre,1/L2,true,derived,1/m2,DERIVED,true,0,1E-6,1,0,,
1/mi2,per square mile,1/L2,false,derived,1/m2,DERIVED,true,0,1,2.589988110336E6,0,,
1/m2,per square metre,1/L2,true,derived,IS-BASE,,,,,,,,
m/m3,metre per cubic metre,1/L2,true,derived,IS-BASE,,,,,,,1/m2,
ft/bbl,foot per barrel,1/L2,false,derived,m/m3,DERIVED,true,0,0.3048,0.158987294928,0,,
ft/ft3,foot per cubic foot,1/L2,false,derived,m/m3,DERIVED,true,0,1,0.09290304,0,,
ft/gal[US],foot per US gallon,1/L2,false,derived,m/m3,DERIVED,true,0,0.3048,0.003785411784,0,,
km/dm3,kilometre per cubic decimetre,1/L2,true,derived,m/m3,DERIVED,true,0,1E6,1,0,,
km/L,kilometre per litre,1/L2,true,derived,m/m3,DERIVED,true,0,1E6,1,0,,
mi/gal[UK],mile per UK gallon,1/L2,false,derived,m/m3,DERIVED,true,0,1609.344,0.00454609,0,,
mi/gal[US],mile per US gallon,1/L2,false,derived,m/m3,DERIVED,true,0,1609.344,0.003785411784,0,,
1/bbl,per barrel,1/L3,false,derived,1/m3,DERIVED,true,0,1,0.158987294928,0,,
1/ft3,per cubic foot,1/L3,false,derived,1/m3,DERIVED,true,0,1,0.028316846592,0,,
1/gal[UK],per UK gallon,1/L3,false,derived,1/m3,DERIVED,true,0,1,0.00454609,0,,
1/gal[US],per US gallon,1/L3,false,derived,1/m3,DERIVED,true,0,1,0.003785411784,0,,
1/L,per litre,1/L3,true,derived,1/m3,DERIVED,true,0,1E3,1,0,,
1/m3,per cubic metre,1/L3,true,derived,IS-BASE,,,,,,,,
1/g,per gram,1/M,true,derived,1/kg,DERIVED,true,0,1E3,1,0,,
1/lbm,per pound,1/M,false,derived,1/kg,DERIVED,true,0,1,0.45359237,0,,
1/kg,per kilogram,1/M,true,derived,IS-BASE,,,,,,,,
1/(kg.s),per (kilogram per second),1/MT,true,derived,Bq/kg,DERIVED,true,0,1,1,0,,
pCi/g,picocurie per gram,1/MT,false,derived,Bq/kg,DERIVED,true,0,37,1,0,,
Bq/kg,becquerel per kilogram,1/MT,true,derived,IS-BASE,,,,,,,1/(kg.s),
Ci,curie,1/T,true,atom-allowed,Bq,NIST-SI,true,0,3.7E10,1,0,3.7E10 Bq,"The Curie (symbol Ci) is a non-SI unit of radioactivity, named after Marie and Pierre Curie. It is defined as 3.7E10 decays per second. The SI derived unit of radioactivity is the becquerel (Bq), which equates to one decay per second."
Bd,baud,1/T,true,atom-allowed,IS-BASE,,,,,,,1/s,"The baud rate is the number of distinct symbols transmitted per second, that is, the number of times per second the signal carrying the communication varies in strength or frequency. If the symbols transmitted have only two states (on or off) then the baud rate is the same as the transmission rate in bits per second. (Adapted from Russ Rowlett's ""A Dictionary of Units of Measurement"" at http://www.unc.edu/~rowlett/units/)"
Bq,becquerel,1/T,true,atom-special,IS-BASE,,,,,,,1/s,The activity of a radionuclide decaying at the rate of one spontaneous nuclear transition per second
Hz,hertz,1/T,true,atom-special,IS-BASE,,,,,,,1/s,The frequency of a periodic phenomenon of which the period is 1 second.
1/a,per julian-year,1/T,false,derived,1/s,DERIVED,true,0,1,3.15576E7,0,,
1/d,per day,1/T,true,derived,1/s,DERIVED,true,0,1,86400,0,,
1/h,per hour,1/T,true,derived,1/s,DERIVED,true,0,1,3600,0,,
1/min,per minute,1/T,true,derived,1/s,DERIVED,true,0,1,60,0,,
1/ms,per millisecond,1/T,true,derived,1/s,DERIVED,true,0,1E3,1,0,,
1/us,per microsecond,1/T,true,derived,1/s,DERIVED,true,0,1E6,1,0,,
1/wk,per week,1/T,false,derived,1/s,DERIVED,true,0,1,6.048E5,0,,
byte/s,byte per second,1/T,false,derived,bit/s,DERIVED,true,0,8,1,0,,
1/s,per second,1/T,true,derived,IS-BASE,,,,,,,,
bit/s,bit per second,1/T,true,derived,IS-BASE,,,,,,,1/s,"A unit of transmission speed, equal to one bit per second."
m3/(s.m3),cubic metre per time cubic metre,1/T,true,derived,IS-BASE,,,,,,,1/s,
bbl/(d.acre.ft),barrel per day acre foot,1/T,false,derived,m3/(s.m3),DERIVED,true,0,2.464298142777857232E6,1.651882180608E15,0,,
GBq,gigabecquerel,1/T,true,prefixed,Bq,DERIVED,true,0,1E9,1,0,,
MBq,megabecquerel,1/T,true,prefixed,Bq,DERIVED,true,0,1E6,1,0,,
mCi,thousandth of curie,1/T,false,prefixed,Bq,DERIVED,true,0,3.7E7,1,0,,
nCi,nanocurie,1/T,false,prefixed,Bq,DERIVED,true,0,37,1,0,,
pCi,picocurie,1/T,false,prefixed,Bq,DERIVED,true,0,0.037,1,0,,
TBq,terabecquerel,1/T,true,prefixed,Bq,DERIVED,true,0,1E12,1,0,,
uCi,millionth of curie,1/T,false,prefixed,Bq,DERIVED,true,0,3.7E4,1,0,,
cHz,centihertz,1/T,true,prefixed,Hz,DERIVED,true,0,0.01,1,0,,
dHz,decihertz,1/T,true,prefixed,Hz,DERIVED,true,0,0.1,1,0,,
EHz,exahertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E18,1,0,,
fHz,femtohertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E-15,1,0,,
GHz,gigahertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E9,1,0,,
kHz,kilohertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E3,1,0,,
mHz,millihertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E-3,1,0,,
MHz,megahertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E6,1,0,,
nHz,nanohertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E-9,1,0,,
pHz,picohertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E-12,1,0,,
THz,terahertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E12,1,0,,
uHz,microhertz,1/T,true,prefixed,Hz,DERIVED,true,0,1E-6,1,0,,
rad,radian,A,true,atom-special,IS-BASE,,,,,,,,"The radian is the plane angle between two radii of a circle that cut of, on the circumference,an arc equal in length to the radius."
ccgr,centesimal-second,A,false,atom,rad,EPSG,true,0,3.141592653589793,2E6,0,1/100 cgr,One hundredth of a centesimal-minute.
cgr,centesimal-minute,A,false,atom,rad,EPSG,true,0,3.141592653589793,2E4,0,1/100 gon,"One hundredth of a centesimal degree (also known as grad, grade or gon)"
dega,angular degree,A,true,atom-allowed,rad,NIST-SI,true,0,3.141592653589793,180,0,,1/360 of a full circle = PI /180 radians
gon,gon,A,false,atom,rad,EPSG,true,0,3.141592653589793,200,0,360/400 dega,"1/400 of a turn (full circle). Also known as gradian, grad, or grade."
mila,angular mil,A,false,atom,rad,EPSG,true,0,3.141592653589793,3.2E3,0,360/6400 dega,Angle subtended by 1/6400 part of a circle.
mina,angular minute,A,true,atom-allowed,rad,NIST-SI,true,0,3.141592653589793,1.08E4,0,1/60 dega,1/60 of an angular degree. ((pi/180) / 60) radians
rev,revolution,A,false,atom,rad,DEFINITION,true,0,6.283185307179586,1,0,360 dega,One complete 360 degree rotational cycle.
seca,angular second,A,true,atom-allowed,rad,NIST-SI,true,0,3.141592653589793,6.48E5,0,1/60 mina,1/60 of an angular minute. ((pi/180) / 3600) radians
0.001 seca,angular millisecond,A,false,derived,rad,DERIVED,true,0,3.141592653589793,6.48E8,0,,
krad,kiloradian,A,true,prefixed,rad,DERIVED,true,0,1E3,1,0,,
mrad,milliradian,A,true,prefixed,rad,DERIVED,true,0,1E-3,1,0,,
Mrad,megaradian,A,true,prefixed,rad,DERIVED,true,0,1E6,1,0,,
urad,microradian,A,true,prefixed,rad,DERIVED,true,0,1E-6,1,0,,
rad/m,radian per metre,A/L,true,derived,IS-BASE,,,,,,,,
0.01 dega/ft,angular degree per hundred foot,A/L,false,derived,rad/m,DERIVED,true,0,3.141592653589793,5.4864E3,0,,
1/30 dega/ft,angular degree per thirty foot,A/L,false,derived,rad/m,DERIVED,true,0,3.141592653589793,1.64592E3,0,,
1/30 dega/m,angular degree per thirty metre,A/L,false,derived,rad/m,DERIVED,true,0,3.141592653589793,5400,0,,((pi/180) / 30) radian per metre
dega/ft,angular degree per foot,A/L,false,derived,rad/m,DERIVED,true,0,3.141592653589793,54.864,0,,
dega/m,angular degree per metre,A/L,true,derived,rad/m,DERIVED,true,0,3.141592653589793,180,0,,
rad/ft,radian per foot,A/L,false,derived,rad/m,DERIVED,true,0,1,0.3048,0,,
rev/ft,revolution per foot,A/L,false,derived,rad/m,DERIVED,true,0,6.283185307179586,0.3048,0,,
rev/m,revolution per metre,A/L,false,derived,rad/m,DERIVED,true,0,6.283185307179586,1,0,,
rad/m3,radian per cubic metre,A/L3,true,derived,IS-BASE,,,,,,,,
rev/m3,revolution per cubic foot,A/L3,false,derived,rad/m3,DERIVED,true,0,6.283185307179586,1,0,,Outside Energistics
rad/ft3,radian per cubic foot,A/L3,false,derived,rad/m3,DERIVED,true,0,1,0.028316846592,0,,
rev/gal[US],revolution per US gallon,A/L3,false,derived,rad/m3,DERIVED,true,0,6.283185307179586,3.785411784E-3,0,,
rad/gal[US],revolution per US gallon,A/L3,false,derived,rad/m3,DERIVED,true,0,1,3.785411784E-3,0,,
dega/m3,angular degree per cubic foot,A/L3,false,derived,rad/m3,DERIVED,true,0,3.141592653589793,180,0,,
rpm,revolution per minute,A/T,false,atom,rad/s,DERIVED,true,0,6.283185307179586,60,0,rev/min,
rad/s,radian per second,A/T,true,derived,IS-BASE,,,,,,,,
dega/h,angular degree per hour,A/T,true,derived,rad/s,DERIVED,true,0,3.141592653589793,6.48E5,0,,((pi/180) / 3600) radian per second
dega/min,angular degree per minute,A/T,true,derived,rad/s,DERIVED,true,0,3.141592653589793,1.08E4,0,,((pi/180) / 60) radian per second
dega/s,angular degree per second,A/T,true,derived,rad/s,DERIVED,true,0,3.141592653589793,180,0,,(pi/180) radian per second
rev/s,revolution per second,A/T,false,derived,rad/s,DERIVED,false,0,6.283185307179586,1,0,,
rad/s2,radian per second squared,A/T2,true,derived,IS-BASE,,,,,,,,
rpm/s,(revolution per minute) per second,A/T2,false,derived,rad/s2,DERIVED,true,0,6.283185307179586,60,0,,
deltaC,delta Celsius,D,true,atom-special,deltaK,NIST-SI,true,0,1,1,0,deltaK,"Change in degree Celsius. The degree Celsius and the kelvin are equal in size, so that the numerical value of a temperature difference or temperature interval is the same when expressed in either degrees Celsius or in kelvins (because the offset cancels). For temperature intervals rather than specific temperatures, 1 deltaF = 1 deltaR = 5/9 deltaC = 5/9 deltaK."
deltaF,delta Fahrenheit,D,false,atom,deltaK,NIST-SI,true,0,5,9,0,,"Change in degrees Fahrenheit. Kelvin=(Fahrenheit + 459.67) x 5/9 so a difference in Fahrenheit temperature cancels out the 459.67 offset. For temperature intervals rather than specific temperatures, 1 deltaF = 1 deltaR = 5/9 deltaC = 5/9 deltaK."
deltaR,delta Rankine,D,false,atom,deltaK,NIST-SI,true,0,5,9,0,,"Change in degrees Rankine. Rankine = (Celsius + 273.15) x 9/5 so a difference in Fahrenheit temperature cancels out the 273.15 offset. For temperature intervals rather than specific temperatures, 1 deltaF = 1 deltaR = 5/9 deltaC = 5/9 deltaK."
deltaK,delta kelvin,D,true,atom-special,IS-BASE,,,,,,,,"Change in kelvin. A zero difference in Kelvin temperature is not the same as being at zero on the Kelvin temperature scale. The degree Celsius and the kelvin are equal in size, so that the numerical value of a temperature difference or temperature interval is the same when expressed in either degrees Celsius or in kelvins."
0.01 deltaF/ft,delta Fahrenheit per hundred foot,D/L,false,derived,deltaK/m,DERIVED,true,0,5,274.32,0,,
deltaC/ft,delta Celsius per foot,D/L,false,derived,deltaK/m,DERIVED,true,0,1,0.3048,0,,
deltaC/hm,delta Celsius per hectometre,D/L,true,derived,deltaK/m,DERIVED,true,0,0.01,1,0,,
deltaC/km,delta Celsius per kilometre,D/L,true,derived,deltaK/m,DERIVED,true,0,1E-3,1,0,,
deltaC/m,delta Celsius per metre,D/L,true,derived,deltaK/m,DERIVED,true,0,1,1,0,,
deltaF/ft,delta Fahrenheit per foot,D/L,false,derived,deltaK/m,DERIVED,true,0,5,2.7432,0,,
deltaF/m,delta Fahrenheit per metre,D/L,false,derived,deltaK/m,DERIVED,true,0,5,9,0,,
deltaK/km,delta kelvin per kilometre,D/L,true,derived,deltaK/m,DERIVED,true,0,1E-3,1,0,,
